Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB07T,S.IB07,CBEP2010-IB07,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB08,S.IB08,CBEP2010-IB08,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB09,S.IB09,CBEP2010-IB09,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB10,S.IB10,CBEP2010-IB10R,2010,-1,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.OB13T,S.OB13T,CBEP2010-OB13,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW01T,S.SW01,CBEP2010-SW01,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW03,S.SW03,CBEP2010-SW03,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW04B,S.SW04B,CBEP2010-SW04B,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW04CT,S.SW04CT,CBEP2010-SW04C,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW04T,S.SW04T,CBEP2010-SW04,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW05,S.SW05,CBEP2010-SW05,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.SW06,S.SW06,CBEP2010-SW06,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.CS06T,S.CS06T,CBEP2010-CS06,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB01T,S.OB01T,CBEP2010-OB01,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB02,S.OB02,CBEP2010-OB02,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB03,S.OB03,CBEP2010-OB03,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB04T,S.OB04,CBEP2010-OB04,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB05,S.OB05,CBEP2010-OB05,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB05,S.OB05,CBEP2010-OB05R,2010,-1,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB06T,S.OB06T,CBEP2010-OB06,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB07,S.OB07,CBEP2010-OB07,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB08T,S.OB08T,CBEP2010-OB08,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB09T,S.OB09T,CBEP2010-OB09,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB10,S.OB10,CBEP2010-OB10,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB11T,S.OB11T,CBEP2010-OB11,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB12,S.OB12,CBEP2010-OB12,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.OB15T,S.OB15T,CBEP2010-OB15,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW07,S.SW07,CBEP2010-SW07,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW07AT,S.SW07A,CBEP2010-SW07A,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
