Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Outer Bay,L.OB03,S.OB03,1994.OB03,1994,0,Monobutyltin,78763-54-9,1,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB10,S.OB10,1994.OB10,1994,0,Tributyltin,688-73-3,27.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB10,S.OB10,1994.OB10,1994,0,Dibutyltin,1002-53-5,1.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB10,S.OB10,1994.OB10,1994,0,Monobutyltin,78763-54-9,1.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB15,S.OB15,1994.OB15,1994,0,Tributyltin,688-73-3,18,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB15,S.OB15,1994.OB15,1994,0,Dibutyltin,1002-53-5,2.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB15,S.OB15,1994.OB15,1994,0,Monobutyltin,78763-54-9,0.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW01D,S.SW01D,1994.SW01,1994,0,Tributyltin,688-73-3,9.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW01D,S.SW01D,1994.SW01,1994,0,Dibutyltin,1002-53-5,1.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW01D,S.SW01D,1994.SW01,1994,0,Monobutyltin,78763-54-9,0.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,1994.SW02,1994,0,Tributyltin,688-73-3,7.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,1994.SW02,1994,0,Dibutyltin,1002-53-5,1.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,1994.SW02,1994,0,Monobutyltin,78763-54-9,0.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW03,S.SW03,1994.SW03,1994,0,Tributyltin,688-73-3,15.9,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW03,S.SW03,1994.SW03,1994,0,Dibutyltin,1002-53-5,2.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW03,S.SW03,1994.SW03,1994,0,Monobutyltin,78763-54-9,0.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04,S.SW04,1994.SW04,1994,0,Tributyltin,688-73-3,8.5,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04,S.SW04,1994.SW04,1994,0,Dibutyltin,1002-53-5,1.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04,S.SW04,1994.SW04,1994,0,Monobutyltin,78763-54-9,1,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04C,S.SW04C,1994.SW04C,1994,0,Tributyltin,688-73-3,36,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04C,S.SW04C,1994.SW04C,1994,0,Dibutyltin,1002-53-5,3.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW04C,S.SW04C,1994.SW04C,1994,0,Monobutyltin,78763-54-9,3.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW05,S.SW05,1994.SW05,1994,0,Tributyltin,688-73-3,25.1,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW05,S.SW05,1994.SW05,1994,0,Dibutyltin,1002-53-5,2.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.SW05,S.SW05,1994.SW05,1994,0,Monobutyltin,78763-54-9,0.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07A,S.SW07A,1994.SW07A,1994,0,Tributyltin,688-73-3,11.1,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07A,S.SW07A,1994.SW07A,1994,0,Dibutyltin,1002-53-5,1.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07A,S.SW07A,1994.SW07A,1994,0,Monobutyltin,78763-54-9,0.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07B,S.SW07B,1994.SW07B,1994,0,Tributyltin,688-73-3,13.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07B,S.SW07B,1994.SW07B,1994,0,Dibutyltin,1002-53-5,3.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW07B,S.SW07B,1994.SW07B,1994,0,Monobutyltin,78763-54-9,1.5,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW08,S.SW08,1994.SW08,1994,0,Tributyltin,688-73-3,9.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW08,S.SW08,1994.SW08,1994,0,Dibutyltin,1002-53-5,1.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.SW08,S.SW08,1994.SW08,1994,0,Monobutyltin,78763-54-9,0.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.WB07,S.WB07,1994.WB07,1994,0,Tributyltin,688-73-3,13.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.WB07,S.WB07,1994.WB07,1994,0,Dibutyltin,1002-53-5,0.9,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
